topic	title	date	contributor	feature_id	description	idiom	village	value	comment	examples	source	original_name	original_transcription
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	Bzhedug		-təʁe			[Ситимова 2004: 93]	прошедший несовершенный вид	-тыгъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	Shapsug		-štəʁe			[Ситимова 2004: 93]	прошедший несовершенный вид	-штыгъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.		Dzherokaj	-š'təʁe, -š'taʁe, -taʁe	Непонятно, из чего состоит показатели с гласной а вместо ы после т		[Ситимова 2004: 93]	прошедший несовершенный вид	-щтыгъэ, -щтагъэ, -тагъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.		Khachemzij	-š'təʁe, -š'taʁe, -taʁe	Непонятно, из чего состоит показатели с гласной а вместо ы после т		[Ситимова 2004: 93]	прошедший несовершенный вид	-щтыгъэ, -щтагъэ, -тагъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	SWC		-š'təʁe			[Ситимова 2004: 93]	прошедший несовершенный вид	-щтыгъэ
tenses	выражение имперфекта	2018-02-12	AF		Имперфект выражается присоединением вспомогательной основой с показателем прошедшего времени. Вспомогательная основа может выглядеть как š'tə- или tə- в разных диалектах. В значениях изоглосс записана основа с показателем прошедшего времени.	Temirgoi		-š'təʁe, -š'taʁe	Непонятно, из чего состоит показатели с гласной а вместо ы после т		[Ситимова 2004: 93]	прошедший несовершенный вид	-щтыгъэ, -щтагъэ
adverbs	"выражение темпорального таксиса ""после того"""	2018-03-14	AF			Shapsug		aš' (qə)newžəm			[Керашева 1957: 246]	послелог	ащ (къы)нэужьым
adverbs	"выражение темпорального таксиса ""после того"""	2018-03-14	AF			SWC		aš' newž			[Ситимова 2004: 112]	послелог	ащ нэуж
adverbs	"выражение темпорального таксиса ""после того"""	2018-03-14	AF			SWC		aš' əwžəm			[Керашева 1957: 246]	послелог	ащ ыужым
adverbs	"выражение темпорального таксиса ""после того"""	2018-03-14	AF			Bzhedug		aš' əwžə			[Ситимова 2004: 112]	послелог	ащ ыужы
adverbs	"выражение темпорального таксиса ""после того"""	2018-03-14	AF			Shapsug		aš' əwžə			[Ситимова 2004: 112]	послелог	ащ ыужы
exclamations	сожаление	2018-03-14	AF			Bzhedug		Аэнасын! о-уииу-уиу! е о-ой! е-ей, зэ! а шъыу!			[Ситимова 2004: 118-119]	междометие	
exclamations	подтверждение	2018-03-14	AF			Bzhedug		ыɣы			[Ситимова 2004: 119]	междометие	
wh-pronouns	где?	2018-02-12	AF			Bzhedug		tʰe š'əʔ / разг. tʰjeʔ (тhеI)			[Ситимова 2004: 81]		
wh-pronouns	где?	2018-02-12	AF			SWC		təde	"В [Ситимова 2004:81] написано ""<...> восточных диалектов и адыгейского литературного языка"""		[Ситимова 2004: 81]		
mood	дезидератив	2018-02-12	AF		"Форма дезидератива образуется присоединением -ʁʷ к причастию настоящего времени ḳʷe-ra-ʁʷ ""он является желающим идти"". Такие формы могут изменяются по лицам, но не по времени. Для выражения времени используется вспомогательный глагол sə-ḳʷe-ra-ʁʷ-ew sə-χʷə-š't ""я буду являться желающим идти"""	Shapsug		прич.н.вр + -гъу	(какой части речи форма на -гъу?) ; написано, что такого нет не только в тем., но и в других; Ю: это не причастие, а единый суффикс reʁʷe		[Керашева 1957: 274]		
mood	дезидератив	2018-02-12	AF		"Форма дезидератива образуется присоединением -ʁʷ к причастию настоящего времени ḳʷe-ra-ʁʷ ""он является желающим идти"". Такие формы могут изменяются по лицам, но не по времени. Для выражения времени используется вспомогательный глагол sə-ḳʷe-ra-ʁʷ-ew sə-χʷə-š't ""я буду являться желающим идти"""	Temirgoi		аналитически формой на -MOD-ADV и глаголом faje	(какой части речи форма на -гъу?) ; написано, что такого нет не только в тем., но и в других; Ю: это не причастие, а единый суффикс reʁʷe				
exclamations	удивление	2018-02-12	AF				Khadzhyko	Иу! Их!			[Керашева 1957: 278]		
preverbs	"значение ""наперегонки"""	2018-03-09	AF		"Значение ""наперегонки"" может выражаться морфологически в префиксальной зоне сказуемого"	Kabardian		ze-de- [rec-com-]			[Керашева 1957: 264]	формант союзности с возвратно-относительным местоимением	зэдэ-
preverbs	"значение ""наперегонки"""	2018-03-09	AF		"Значение ""наперегонки"" может выражаться морфологически в префиксальной зоне сказуемого"	Shapsug		ze-fe- [rec-ben-]			[Керашева 1957: 264]	формант версии	зэфэ-
preverbs	"значение ""наперегонки"""	2018-03-09	AF		"Значение ""наперегонки"" может выражаться морфологически в префиксальной зоне сказуемого"	SWC		преверб п-			[Керашева 1957: 264]	категория соревнования	п-
cases	значение функтива	2018-02-12	AF		Значение 'в качестве X' выражается инструменталисом или адвербиалисом	Shapsug		INS		(1) <...> друзья князя пришли гостями к князю. (2) Он находится в горах охотником	[Керашева 1957: 244]		
cases	значение функтива	2018-02-12	AF		Значение 'в качестве X' выражается инструменталисом или адвербиалисом	Temirgoi		ADV		(1) <...> друзья князя пришли гостями к князю. (2) Он находится в горах охотником	[Керашева 1957: 244]		
mood	императив	2018-02-12	AF		Разные императивные формы образуются с помощью суффиксов и частиц. Частица ze в примерах [Ситимова 2004: 85] встречается в разных местах относительно глагола и частицы maw, а частица maw не встречается после глагола. В примерах из абадзехского суффикс -λ не встретился без частицы maw.	Abzakh		-λ, maw	"В [Тхаркахо 1993: 83] сказано только про темиргоевское -λ и бжедугское -ŝ — что они добавляют значение ""а ну!"""		[Ситимова 2004: 85]		
mood	императив	2018-02-12	AF		Разные императивные формы образуются с помощью суффиксов и частиц. Частица ze в примерах [Ситимова 2004: 85] встречается в разных местах относительно глагола и частицы maw, а частица maw не встречается после глагола. В примерах из абадзехского суффикс -λ не встретился без частицы maw.	Bzhedug		-jə, -jeje, -ŝ, maw, ze			[Ситимова 2004: 85]		
mood	императив	2018-02-12	AF		Разные императивные формы образуются с помощью суффиксов и частиц. Частица ze в примерах [Ситимова 2004: 85] встречается в разных местах относительно глагола и частицы maw, а частица maw не встречается после глагола. В примерах из абадзехского суффикс -λ не встретился без частицы maw.	Temirgoi		-λ, maw			[Ситимова 2004: 85]		
mood	императив	2018-02-12	AF		Разные императивные формы образуются с помощью суффиксов и частиц. Частица ze в примерах [Ситимова 2004: 85] встречается в разных местах относительно глагола и частицы maw, а частица maw не встречается после глагола. В примерах из абадзехского суффикс -λ не встретился без частицы maw.	Bzhedug		-ŝ	"Cказано только про темиргоевское -λ и бжедугское -ŝ — что они добавляют значение ""а ну!"""		[Тхаркахо 1993: 83]		
mood	императив	2018-02-12	AF		Разные императивные формы образуются с помощью суффиксов и частиц. Частица ze в примерах [Ситимова 2004: 85] встречается в разных местах относительно глагола и частицы maw, а частица maw не встречается после глагола. В примерах из абадзехского суффикс -λ не встретился без частицы maw.	Temirgoi		-λ	"Cказано только про темиргоевское -λ и бжедугское -ŝ — что они добавляют значение ""а ну!"""		[Тхаркахо 1993: 83]		
proforms	инструменталис единственного	2018-02-12	AF			Bzhedug		Присоединяется к основе на -š’			[Ситимова 2004: 78]		
proforms	инструменталис множественного	2018-02-12	AF			Bzhedug		Присоединяется к основе на -š’			[Ситимова 2004: 79]		
indefinite pronoun	какой-то	2018-02-12	AF			Bzhedug		zəgawe	"1) Склоняется по падежам и числам, но не присоединяет показатель абсолютива: в единственном числе в темиргоевском и в обоих числах в бжедугском.
 2) Употребляется самостоятельно, судя по примеру"		[Ситимова 2004: 82-83]		
indefinite pronoun	какой-то	2018-02-12	AF			Temirgoi		zəgawre	"1) Склоняется по падежам и числам, но не присоединяет показатель абсолютива: в единственном числе в темиргоевском и в обоих числах в бжедугском.
 2) Употребляется самостоятельно, судя по примеру"		[Ситимова 2004: 82-83]		
indefinite pronoun	какой-то	2018-02-12	AF			Bzhedug		gaw(r)e	"1) Склоняется по падежам и числам, но не присоединяет показатель абсолютива, по крайней мере в единственном числе.
 2) Употребляется несамостоятельно, судя по примеру"				
indefinite pronoun	какой-то	2018-02-12	AF			Temirgoi		gawre	"1) Склоняется по падежам и числам, но не присоединяет показатель абсолютива, по крайней мере в единственном числе.
 2) Употребляется несамостоятельно, судя по примеру"				
quantifiers	квантификатор всеобщности pstewə(rjə)	2018-03-07	AF			Bzhedug		нет	В бжедугском диалекте почти не встречается.		[Ситимова 2004: 82]	"определительное местоимение ""все"""	пстэу(ри)
quantifiers	квантификатор всеобщности zeč̣’e	2018-03-07	AF			Shapsug		нет			[Керашева 1957: 254]	"определительное местоимение ""все"""	зэчIэ
quantifiers	квантификатор всеобщности zeč̣’e	2018-03-07	AF			SWC		да	В [Ситимова 2004: 82] имплицируется, что в литературном адыгейском это местоимение не имеет формы множественного числа		[Керашева 1957: 254]	"определительное местоимение ""все"""	зэчIэ
quantifiers	квантификатор всеобщности zeč̣’e	2018-03-07	AF			Bzhedug		да	"Форма зэкIэйи в источнике названа формой множественного числа и анализируется как форма зэкIэ-р-и, претерпевшая фонетические изменения, из чего, однако, следует, что она не содержит показатель плюралиса. См. [Nikolaeva 2012: 47] о форме zeč̣’e-r-jə [all-abs-&] как о ""плавающем"" (floating) аналоге zeč̣’e."		[Ситимова 2004: 82]	"определительное местоимение ""все"""	зэчIэ
quantifiers	квантификатор всеобщности zewəž/zewəž'ə	2018-03-07	AF			Shapsug		zewəž'ə	Имеет форму множественного числа zewəž'əxer.		[Керашева 1957: 254]	"определительное местоимение ""все"""	зэужьы
quantifiers	квантификатор всеобщности zewəž/zewəž'ə	2018-03-07	AF			SWC		zewəž			[Керашева 1957: 254]	"определительное местоимение ""все"""	зэуж
wh-pronouns	когда?	2018-02-12	AF			Bzhedug		ŝədəʁʷ			[Ситимова 2004: 81]		
wh-pronouns	когда?	2018-02-12	AF			SWC		sədəjʁʷ	"В [Ситимова 2004:81] написано ""<...> восточных диалектов и адыгейского литературного языка"""		[Ситимова 2004: 81]		
mood	конструкция эпистемической возможности	2018-02-12	AF		Конструкция, выражающая эпистемическую возможность состоит из формы на -MOD-INS-ADD (см. пред. глоссу) и частицы χun в бжедугском и meχun в темиргоевском. В темиргоевском примере -n MOD блокирует чередование (что согласуется с тем, что написано об эпистемической конструкции с faje), а в бжедугском — нет.	Bzhedug		χʷən		(1a) (бжедугский) ḳʷa-ʁe-n-ǯjə χʷə-n ‘наверное, пошёл’ (1b) (темиргоевский) ḳʷe-ʁe-n-ǯjə me-χʷ ‘наверное, пошёл’	[Ситимова 2004: 95-96]		
mood	конструкция эпистемической возможности	2018-02-12	AF		Конструкция, выражающая эпистемическую возможность состоит из формы на -MOD-INS-ADD (см. пред. глоссу) и частицы χun в бжедугском и meχun в темиргоевском. В темиргоевском примере -n MOD блокирует чередование (что согласуется с тем, что написано об эпистемической конструкции с faje), а в бжедугском — нет.	Temirgoi		meχʷ		(1a) (бжедугский) ḳʷa-ʁe-n-ǯjə χʷə-n ‘наверное, пошёл’ (1b) (темиргоевский) ḳʷe-ʁe-n-ǯjə me-χʷ ‘наверное, пошёл’	[Ситимова 2004: 95-96]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			Shapsug		-š' / -j			[Керашева 1957: 249-250]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			Abzakh		0			[Зекох 1969: 68]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF				Mamkheg	0			[Зекох 1969: 68]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			SWC		0 / -š'			[Рогава, Керашева 1966: 84-85]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			SWC		0 / -š'			[Ситимова 2004: 76-77]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			Bzhedug		-j (редко -š')			[Ситимова 2004: 76-77]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			Temirgoi		-j / 0 (с индексом на послелоге)			[Ситимова 2004: 76-77]		
personal pronouns	косвенная форма личных местоимений	2018-03-14	AF			Temirgoi		-j / 0 (с индексом на послелоге)			[Тхаркахо 1993: 91-92]		
morphonology	ассимиляция индекса 2sg.io/erg перед согласным /p/	2018-03-16	AF		Неабсолютивный индекс второго лица единственного числа w- обычно перед согласными переходит в p-. Перед согласным /p/ этого может не происходить	Bzhedug		ассимилируется перед /p/			[Тхаркахо 1993: 71]	показатель второго лица	
morphonology	ассимиляция индекса 2sg.io/erg перед согласным /p/	2018-03-16	AF		Неабсолютивный индекс второго лица единственного числа w- обычно перед согласными переходит в p-. Перед согласным /p/ этого может не происходить	Temirgoi		не ассимилируется перед /p/			[Тхаркахо 1993: 71]	показатель второго лица	
masdar	масдарная форма на -n MOD	2018-03-16	AF		В восточных диалектах масдарная форма снабжается префиксом wə- (видимо, имперсональное использование индекса второго лица единственного числа), тогда как в бжедугском — нет. Однако, не уточняется, при каких именно условиях это происходит.	Bzhedug		не требует			[Ситимова 2004: 96]	масдар	
masdar	масдарная форма на -n MOD	2018-03-16	AF		В восточных диалектах масдарная форма снабжается префиксом wə- (видимо, имперсональное использование индекса второго лица единственного числа), тогда как в бжедугском — нет. Однако, не уточняется, при каких именно условиях это происходит.	Temirgoi		требует wə-			[Ситимова 2004: 96]	масдар	
masdar	масдарная форма на -n MOD	2018-03-16	AF		В восточных диалектах масдарная форма снабжается префиксом wə- (видимо, имперсональное использование индекса второго лица единственного числа), тогда как в бжедугском — нет. Однако, не уточняется, при каких именно условиях это происходит.	Bzhedug		не требует			[Тхаркахо 1993: 71]	показатель второго лица	
masdar	масдарная форма на -n MOD	2018-03-16	AF		В восточных диалектах масдарная форма снабжается префиксом wə- (видимо, имперсональное использование индекса второго лица единственного числа), тогда как в бжедугском — нет. Однако, не уточняется, при каких именно условиях это происходит.	Temirgoi		требует wə-			[Тхаркахо 1993: 71]	показатель второго лица	
proforms	"местоимение ǯa-r ""тот"""	2018-02-12	AF			Shapsug		да	Написано, что склоняется так же, как другие, но значение не описано		[Керашева 1957: 252]		
intensifying pronoun	местоимение-интенсификатор	2018-03-13	AF		Встречаются различные варианты местоимения-интенсификатора, которые отличаются 1) тем, присоединяют ли они показатели числа и падежа, и присутствует ли перед этими показателями -r- (встречающийся и в других местоимениях); 2) своей основой (не считая -r-). В значении изоглоссы дана основа, а в комментарии находятся данные в источнике сведения о присоединении к основам показателей числа и падежа.	Shapsug		jež’, ž’ə	Основа ž’ə- может выступать без суффиксов. К основе ž’ə- может присоединяться -r, к которому может присоединяться показатель эргатива (ž’ə-r-me) и показатель плюралиса, к которому присоединяется показатель абсолютива или эргатива (ž’ə-r-xe-r, ž’ə-r-xe-m). С основой jež’ приведены только две формы: единственного числа jež’ər и множественного jež’ərxer, однако про формы эргатива не уточняется.		[Керашева 1957: 254]	"определительное местоимение ""сам"""	жьы, жьыр, жьырмэ,  жьырхэр, жьырмэр, ежь, ежьыр, ежьырхер
intensifying pronoun	местоимение-интенсификатор	2018-03-13	AF		Встречаются различные варианты местоимения-интенсификатора, которые отличаются 1) тем, присоединяют ли они показатели числа и падежа, и присутствует ли перед этими показателями -r- (встречающийся и в других местоимениях); 2) своей основой (не считая -r-). В значении изоглоссы дана основа, а в комментарии находятся данные в источнике сведения о присоединении к основам показателей числа и падежа.	Temirgoi		jež’	Плюралис и падежные показатели присоединяются непосредственно к основе jež'-.		[Керашева 1957: 254]	"определительное местоимение ""сам"""	ежь, ежьхэри, ежьхэмэ
intensifying pronoun	местоимение-интенсификатор	2018-03-13	AF		Встречаются различные варианты местоимения-интенсификатора, которые отличаются 1) тем, присоединяют ли они показатели числа и падежа, и присутствует ли перед этими показателями -r- (встречающийся и в других местоимениях); 2) своей основой (не считая -r-). В значении изоглоссы дана основа, а в комментарии находятся данные в источнике сведения о присоединении к основам показателей числа и падежа.	Temirgoi		jež’, редко je	В добавление к [Зэкох 1969: 87-88] отмечается, что в темиргоевском это местоимение может использоваться без показателей падежа (jež’). Примеры даны только с местоимением в абсолютивной роли. Кроме того, автору встретилась форма je, которая анализируется как усеченная форма местоимения jež’.		[Тхаркахо 1993: 94]	"определительное местоимение ""сам"""	ежь, йэжь, ежьыр, йэжьыр, йэ
intensifying pronoun	местоимение-интенсификатор	2018-03-13	AF		Встречаются различные варианты местоимения-интенсификатора, которые отличаются 1) тем, присоединяют ли они показатели числа и падежа, и присутствует ли перед этими показателями -r- (встречающийся и в других местоимениях); 2) своей основой (не считая -r-). В значении изоглоссы дана основа, а в комментарии находятся данные в источнике сведения о присоединении к основам показателей числа и падежа.	Temirgoi		jež’	"Местоимение имеет следующие формы (даны только формы единственного числа): jež’-ər абсолютив (в ист. патетив), jež’-əm эргатив, jež’-əm-č̣’e инструменталис (в ист. творительный), jež’-ər-ew авдербиалис (в ист. О[тносительный]), jež’-əm-djə адессив. Вместо предикативной формы используется конструкция с a-rə (jež’-ər a-rə zə-ʔʷa-ʁe-r ""(Он) сам (есть) сказавший"")."		[Зэкох 1969: 87-88]	"определительное местоимение ""сам"""	ежьыр, ежьым, ежьымджэ, ежьырэу, ежьымди
intensifying pronoun	местоимение-интенсификатор	2018-03-13	AF		Встречаются различные варианты местоимения-интенсификатора, которые отличаются 1) тем, присоединяют ли они показатели числа и падежа, и присутствует ли перед этими показателями -r- (встречающийся и в других местоимениях); 2) своей основой (не считая -r-). В значении изоглоссы дана основа, а в комментарии находятся данные в источнике сведения о присоединении к основам показателей числа и падежа.	Bzhedug		jež’	Местоимение имеет следующие формы (даны только формы единственного числа): jež’ абсолютив (в ист. патетив) или эргатив, jež’-ǯe / jež’-ər-ǯe инструменталис (в ист. творительный), jež’-ər-ew авдербиалис (в ист. О[тносительный]), jež’-djə адессив. Предикативная форма образуется прибавлением суффикса: jež’-ər. 		[Зэкох 1969: 87-88]	"определительное местоимение ""сам"""	ежь, ежьырджэ, ежьджэ, ежьырэу, ежьди
coordination	метатеза -re ADD и -me OBL	2018-02-12	AF		Носители не смогли осознать		Malyi Kichmai	да			[Керашева 1957: 276-277]		
coordination	метатеза -re ADD и -me OBL	2018-02-12	AF		Носители не смогли осознать		Pseituk	да			[Керашева 1957: 276-277]		
coordination	метатеза -re ADD и -me OBL	2018-02-12	AF		Носители не смогли осознать	SWC		нет			[Керашева 1957: 276-277]		
tenses	"наличие -а ""перфект"""	2018-02-12	AF			Abzakh		да	"в абадз ""неустойчивая диалектная форма"""		[Кумахова 1972: 80-81]		
tenses	"наличие -а ""перфект"""	2018-02-12	AF			Kabardian		да (+ copula -š')	"в абадз ""неустойчивая диалектная форма"""		[Кумахова 1972: 80-81]		
tenses	"наличие -а ""перфект"""	2018-02-12	AF			Kuban		да	"в абадз ""неустойчивая диалектная форма"""		[Кумахова 1972: 80-81]		
tenses	"наличие -а ""перфект"""	2018-02-12	AF			SWC		нет	"в абадз ""неустойчивая диалектная форма"""		[Кумахова 1972: 80-81]		
converbs	наличие показателя -rjə	2018-02-12	AF			Kabardian		да			[Керашева 1957: 271]	аффикс инфинитности	-ри
converbs	наличие показателя -rjə	2018-02-12	AF			Shapsug		да			[Керашева 1957: 271]	аффикс инфинитности	-ри
converbs	наличие показателя -rjə	2018-02-12	AF			SWC		нет			[Керашева 1957: 271]	аффикс инфинитности	-ри
converbs	наличие показателя -ŝ	2018-02-12	AF		Ситуация инфинитного глагола предшествует ситуации финитного, может иметь значение причинности [Керашева 1957: 270].	Abzakh		нет			[Керашева 1957: 270]	аффикс инфинитности	-шъ
converbs	наличие показателя -ŝ	2018-02-12	AF		Ситуация инфинитного глагола предшествует ситуации финитного, может иметь значение причинности [Керашева 1957: 270].	Bzhedug		да			[Керашева 1957: 270]	аффикс инфинитности	-шъ
converbs	наличие показателя -ŝ	2018-02-12	AF		Ситуация инфинитного глагола предшествует ситуации финитного, может иметь значение причинности [Керашева 1957: 270].	SWC		да			[Керашева 1957: 270]	аффикс инфинитности	-шъ
converbs	наличие показателя -ze	2018-02-24	AF			Shapsug		редко	"""Вместо аффикса -зэ выступают более сложные аффиксы, составной частью которых является и -зэ."" "		[Керашева 1957: 271]	аффикс инфинитности	-зэ
converbs	наличие показателя -zə	2018-02-12	AF		Показатель инфинитности -zə есть только в абадзехском.	Abzakh		да			[Керашева 1957: 270]		-зы
converbs	наличие показателя -zə	2018-02-12	AF		Показатель инфинитности -zə есть только в абадзехском.	Shapsug		нет	"""... -зы является характерным только для абадзехского диалекта и не наблюдается в остальных"""		[Керашева 1957: 270]		-зы
converbs	наличие показателя -zə	2018-02-12	AF		Показатель инфинитности -zə есть только в абадзехском.	SWC		нет	"""... -зы является характерным только для абадзехского диалекта и не наблюдается в остальных"""		[Керашева 1957: 270]		-зы
converbs	наличие показателя -zə	2018-02-12	AF		Показатель инфинитности -zə есть только в абадзехском.	Bzhedug		нет	"""... -зы является характерным только для абадзехского диалекта и не наблюдается в остальных"""		[Керашева 1957: 270]		-зы
converbs	наличие показателя -zə	2018-02-12	AF		Показатель инфинитности -zə есть только в абадзехском.	Temirgoi		нет	"""... -зы является характерным только для абадзехского диалекта и не наблюдается в остальных"""		[Керашева 1957: 270]		-зы
possession	неотторжимая принадлежность	2018-02-12	AF			Besleney		да (smaller class)			[Керашева 1957: 253]		
possession	неотторжимая принадлежность	2018-02-12	AF			Shapsug		да			[Керашева 1957: 253]		
possession	неотторжимая принадлежность	2018-02-12	AF			Kabardian		нет			[Кумахов 2013: 73-74]		
possession	неотторжимая принадлежность	2018-02-12	AF			Kabardian		нет			[Кумахова 1972: 71]		
possession	неотторжимая принадлежность	2018-02-12	AF			Abzakh		optional			[Кумахова 1972: 71]		
possession	неотторжимая принадлежность	2018-02-12	AF			Kuban		нет			[Кумахова 1972: 71]		
possession	неотторжимая принадлежность	2018-02-12	AF			SWC		да			[Рогава, Керашева 1966: 68]		
possession	неотторжимая принадлежность	2018-02-12	AF				Pseushkho		в аулах Тхагапш и Псеушхо в речи некоторых носителей иногда используется inalienable вместо alienable				
possession	неотторжимая принадлежность	2018-02-12	AF				Tkhagapsh		в аулах Тхагапш и Псеушхо в речи некоторых носителей иногда используется inalienable вместо alienable				
possession	неотторжимая принадлежность	2018-02-12	AF			Bzhedug		да					
definite pronouns	непонятные местоимения	2018-02-12	AF		корт-ер столько-abs, инагъ - величина	Shapsug		"kʷerter ""сколько"", dexer ""они"", naʁ ""столько"""	Из примеров видно, что переводы очень условные		[Керашева 1957: 254-255]		
negative pronouns	ничего	2018-02-12	AF			Bzhedug		zəce / zəcəqe / zəpʰa(r)jə			[Ситимова 2004: 83-84]		
negative pronouns	ничего	2018-02-12	AF			Temirgoi		zəcjə / zəcəqjə / parjə / c̣əwnṭe			[Ситимова 2004: 83-84]		
negative pronouns	ничего, никого и тд	2018-02-12	AF		"Отрицательные местоимения образуются сложением числительного ""один"" и местоименных основ с аддитивными союзами [Керашева 1957: 277]."	Shapsug		pronoun + -икIь ADD		"z-jə (один-ADD) ""ничего"", ""никого""; xetmjə ""кто бы ни был"""	[Керашева 1957: 277]		
negative pronouns	ничего, никого и тд	2018-02-12	AF		"Отрицательные местоимения образуются сложением числительного ""один"" и местоименных основ с аддитивными союзами [Керашева 1957: 277]."	SWC		pronoun + -и ADD		"z-jə (один-ADD) ""ничего"", ""никого""; xetmjə ""кто бы ни был"""	[Керашева 1957: 277]		
indexing	обратный порядок индексов	2018-02-12	AF		Иногда в глаголах с абсолютивным индексом и индексом непрямого объекта эти индексы меняются местами. Для абадзехского эксплицировано, что это может происходить когда абсолютивный участник первого лица, а непрямой объект — второго. Для темиргоевского это не уточняется, однако все приведенные примеры с абсолютивом первого лица и непрямым объектом второго. В значениях изоглоссы отображается, с какими аппликативами приводятся примеры.	Abzakh		OBL, COM, BEN		"Для темиргоевского приведены примеры с разными глаголами. Для абадзехского формы без аппликатива (или с дативом?) приводятся на примере -deʔʷ- ""слушать"", а формы с комитативом и бенефактивом — на примере -кIуэ- ""идти""."	[Кумахова 1972: 72-73]		
indexing	обратный порядок индексов	2018-02-12	AF		Иногда в глаголах с абсолютивным индексом и индексом непрямого объекта эти индексы меняются местами. Для абадзехского эксплицировано, что это может происходить когда абсолютивный участник первого лица, а непрямой объект — второго. Для темиргоевского это не уточняется, однако все приведенные примеры с абсолютивом первого лица и непрямым объектом второго. В значениях изоглоссы отображается, с какими аппликативами приводятся примеры.	Bzhedug		нет		"Для темиргоевского приведены примеры с разными глаголами. Для абадзехского формы без аппликатива (или с дативом?) приводятся на примере -deʔʷ- ""слушать"", а формы с комитативом и бенефактивом — на примере -кIуэ- ""идти""."	[Ситимова 2004: 96]		
indexing	обратный порядок индексов	2018-02-12	AF		Иногда в глаголах с абсолютивным индексом и индексом непрямого объекта эти индексы меняются местами. Для абадзехского эксплицировано, что это может происходить когда абсолютивный участник первого лица, а непрямой объект — второго. Для темиргоевского это не уточняется, однако все приведенные примеры с абсолютивом первого лица и непрямым объектом второго. В значениях изоглоссы отображается, с какими аппликативами приводятся примеры.	Temirgoi		OBL, BEN		"Для темиргоевского приведены примеры с разными глаголами. Для абадзехского формы без аппликатива (или с дативом?) приводятся на примере -deʔʷ- ""слушать"", а формы с комитативом и бенефактивом — на примере -кIуэ- ""идти""."	[Ситимова 2004: 96]		
cases	обстоятельство времени	2018-02-12	AF		Обстоятельства времени в шапсугском оформляются инструменталисом. В темиргоевском — косвенным падежом (-m) или суффиксом -re	Shapsug		INS			[Керашева 1957: 245]		
cases	обстоятельство времени	2018-02-12	AF		Обстоятельства времени в шапсугском оформляются инструменталисом. В темиргоевском — косвенным падежом (-m) или суффиксом -re	Temirgoi		OBL или -re			[Керашева 1957: 245]		-рэ
relativization	обстоятельство времени	2018-02-12	AF		Обстоятельство времени, выраженное глагольной словоформой оформляется с помощью релятивного префикса z- и показателя обликвуса -m	Shapsug		z- — -m			[Керашева 1957: 269]		
relativization	обстоятельство времени	2018-02-12	AF		Обстоятельство времени, выраженное глагольной словоформой оформляется с помощью релятивного префикса z- и показателя обликвуса -m	SWC		z- — -m			[Керашева 1957: 269]		
relativization	обстоятельство условия	2018-02-12	AF		Обстоятельство условия, выраженное глагольной словоформой в шапсугском оформляется с помощью релятивного префикса z- и показателя обликвуса -m.	Shapsug		z- — -m			[Керашева 1957: 270]		
relativization	обстоятельство условия	2018-02-12	AF		Обстоятельство условия, выраженное глагольной словоформой в шапсугском оформляется с помощью релятивного префикса z- и показателя обликвуса -m.	SWC		z- — -č̣’ (реже z- — -m)			[Керашева 1957: 270]		
adjectives	особая сравнительная форма	2018-02-12	AF		"Суффикс -Iу (но в примерах -Iуэ) в лит. адыг. ""указывает на то, что данного качества в предмете немного больше, чем необходимо"" [Керашева 1957: 249]. Такую форму может сопровождать слово нахь — в этом случае, в бжедугском вместо -Iу может использоваться бенефактив."	Shapsug		nah BEN-прилагательное		(1a) (бжедугский) ы-к1ьэ-хэ-р нахь фэ-фыжь-эу щыт [3sg.erg-хвост-abs more ben-white-adv] ‘Его хвост более беловат.’ (1b) (темиргоевский) ык1ьэхэр нахь фыжьы-Iу-эу щыт	[Керашева 1957: 249]		
